MEMBER CODE,FAT,SNF,RATE,Qty.,AMOUNT,Shift
0032*  ,6.74,9.62,39.46,1.95,76.95,Morning
0018*  ,4.5,9.05,31.6,2.53,79.95,Morning
0012*  ,3.85,8.79,29.13,4.53,131.96,Morning
0011*  ,7.17,9.73,40.97,2.66,108.98,Morning
0008*  ,9.71,9.5,48.13,1.26,60.64,Morning
0005*  ,3.71,9.1,29.33,6.97,204.43,Morning
0010*  ,6.11,8.66,35.65,2.12,75.58,Morning
0036*  ,4.33,9.16,31.31,2.13,66.69,Morning
0037*  ,4.59,8.88,31.53,1.68,52.97,Morning
0032*  ,6.81,9.56,39.55,1.88,74.35,Morning
0011*  ,7.2,9.46,40.52,2.65,107.38,Morning
0037*  ,4.94,8.4,31.62,1.7,53.75,Morning
0032*  ,6.85,9.46,39.47,1.82,71.84,Morning
0018*  ,3.88,8.91,29.46,2.26,66.58,Morning
0010*  ,5.99,8.79,35.55,2.2,78.21,Morning
0008*  ,9.32,9.65,47.26,1.93,91.21,Morning
0044*  ,10,10,50,2.09,104.5,Morning
0012*  ,4.6,8.86,31.52,4.75,149.72,Morning
0012*  ,4.56,9.18,32.04,3.45,110.54,Morning
0036*  ,4.13,9.24,30.87,3.03,93.54,Morning
0005*  ,3.35,9.1,28.25,7.06,199.44,Morning
0022*  ,5.73,9.14,35.47,1.77,62.78,Morning
0037*  ,4.33,8.07,29.13,2.68,78.07,Morning
0032*  ,6.54,9.25,38.12,2.07,78.91,Morning
0012*  ,4.2,8.87,30.34,4.8,145.63,Morning
0018*  ,3.88,8.92,29.48,2.53,74.58,Morning
0011*  ,8.24,9.81,44.34,2.45,108.63,Morning
0005*  ,4.59,9.47,32.71,4.03,131.82,Morning
0008*  ,9.6,9.74,48.28,1.54,74.35,Morning
0037*  ,4.4,8.38,29.96,2.59,77.6,Morning
0044*  ,10,10,50,1.98,99,Morning
0010*  ,5.99,8.83,35.63,2.07,73.75,Morning
0022*  ,5.66,9.07,35.12,1.42,49.87,Morning
0032*  ,6.56,9.21,38.1,2.25,85.72,Morning
0018*  ,3.59,8.89,28.55,2.25,64.24,Morning
0044*  ,10,10,50,2.13,106.5,Morning
0036*  ,3.87,9.04,29.69,2.34,69.47,Morning
0012*  ,4.01,8.91,29.85,4.81,143.58,Morning
0037*  ,3.9,8.3,28.3,3.11,88.01,Morning
0011*  ,7.36,9.66,41.4,2.47,102.26,Morning
0008*  ,9.32,9.75,47.46,1.62,76.89,Morning
0010*  ,4.84,9.18,32.88,1.66,54.58,Morning
0032*  ,7.79,9.36,42.09,1.22,51.35,Morning
0005*  ,3.21,8.65,26.93,5.53,148.92,Morning
0010*  ,5.6,8.78,34.36,2.02,69.41,Morning
0012*  ,4.56,9.34,32.36,4.22,136.56,Morning
0011*  ,6.66,9.69,39.36,2.53,99.58,Morning
0008*  ,9.58,9.71,48.16,1.66,79.95,Morning
0018*  ,3.87,9.08,29.77,2.28,67.88,Morning
0044*  ,10,10,50,2.27,113.5,Morning
0037*  ,5.05,8.54,32.23,2.72,87.67,Morning
0022*  ,5.92,8.91,35.58,1.79,63.69,Morning
0032*  ,7.38,9.05,40.24,1.45,58.35,Morning
0005*  ,3.35,8.51,27.07,5.34,144.55,Morning
0011*  ,7.61,9.41,41.65,2.56,106.62,Morning
0012*  ,4.23,9.33,31.35,4.21,131.98,Morning
0018*  ,3.94,8.86,29.54,2.56,75.62,Morning
0037*  ,3.9,8.52,28.74,3.35,96.28,Morning
0044*  ,10,10,50,2.48,124,Morning
0010*  ,5.61,8.65,34.13,2.31,78.84,Morning
0008*  ,8.93,9.67,46.13,1.66,76.58,Morning
0022*  ,6.32,9.01,36.98,1.38,51.03,Morning
0036*  ,3.9,9.07,29.84,2.59,77.29,Morning
0032*  ,9.12,9.04,45.44,1.23,55.89,Morning
0005*  ,2.94,8.63,26.08,5.48,142.92,Morning
0036*  ,4.98,9.03,33,2.3,75.9,Morning
0012*  ,3.97,9.06,30.03,5.26,157.96,Morning
0037*  ,3.78,8.33,28,3.08,86.24,Morning
0008*  ,9.4,9.85,47.9,1.51,72.33,Morning
0010*  ,5.77,8.7,34.71,2.25,78.1,Morning
0018*  ,3.82,9.06,29.58,2.54,75.13,Morning
0032*  ,9,9.2,45.4,1.14,51.76,Morning
0011*  ,7.85,9.65,42.85,2.52,107.98,Morning
0032*  ,7.16,9.1,39.68,1.67,66.27,Morning
0005*  ,2.63,8.91,25.71,6.63,170.46,Morning
0010*  ,5.24,8.55,32.82,2.13,69.91,Morning
0036*  ,4.97,9.25,33.41,2.68,89.54,Morning
0044*  ,10,10,50,2.83,141.5,Morning
0022*  ,5.52,9.18,34.92,1.84,64.25,Morning
0012*  ,4.13,9.25,30.89,4.26,131.59,Morning
0012*  ,3.91,8.88,29.49,3.14,92.6,Morning
0008*  ,8.38,9.79,44.72,2.87,128.35,Morning
0018*  ,3.99,9.11,30.19,2.22,67.02,Morning
0001*  ,8.5,9.51,44.52,1.86,82.81,Morning
0001*  ,7.72,9.85,42.86,3.48,149.15,Morning
0032*  ,7.06,9.38,39.94,1.71,68.3,Morning
0033*  ,4.15,8.82,30.09,2.31,69.51,Morning
0005*  ,4.45,8.89,31.13,5.52,171.84,Morning
0037*  ,3.87,7.99,27.59,2.08,57.39,Morning
0018*  ,3.43,8.93,28.15,1.74,48.98,Morning
0011*  ,7.84,9.51,42.54,2.1,89.33,Morning
0001*  ,6.65,10,39.95,3.27,130.64,Morning
0010*  ,5.68,8.97,34.98,1.69,59.12,Morning
0012*  ,4.48,9.22,31.88,4.63,147.6,Morning
0008*  ,9.27,9.73,47.27,1.48,69.96,Morning
0036*  ,5.31,9.44,34.81,2.33,81.11,Morning
0022*  ,4.81,9.06,32.55,1.83,59.57,Morning
0032*  ,6.91,9.45,39.63,1.93,76.49,Morning
